rep,task,condition,json_valid,status,patch_applied,verified_solve,false_completion,failure_type,recovery_observed,trajectory_use_observed,evidence,notes
rep_01,challenge_001,agent_a,true,ok,true,true,false,,,,,
rep_01,challenge_001,agent_b,true,ok,true,true,false,,,,,
rep_01,challenge_001,agent_c,true,ok,true,true,false,,,,,
rep_01,challenge_001,agent_d,true,ok,true,true,false,,,,,
rep_01,challenge_002,agent_a,true,ok,true,true,false,,,,,
rep_01,challenge_002,agent_b,true,ok,true,false,true,tests_failed,false,false,partial settings rewrite missed blank APP_PORT normalization,False completion from direct patch generation not retained recovery
rep_01,challenge_002,agent_c,true,ok,true,false,true,tests_failed,,,,
rep_01,challenge_002,agent_d,true,ok,true,true,false,,false,false,reused shared helpers and stripped blank env values,Solved by stronger direct patch generation rather than retained recovery evidence
rep_01,challenge_003,agent_a,true,ok,true,true,false,,,,,
rep_01,challenge_003,agent_b,true,ok,true,true,false,,false,false,direct tiny limit guard for ellipsis handling,B and D both solved this misleading obvious fix task in Stage 2
rep_01,challenge_003,agent_c,true,ok,true,false,true,tests_failed,,,,
rep_01,challenge_003,agent_d,true,ok,true,true,false,,false,false,direct tiny limit guard for ellipsis handling,B and D both solved this misleading obvious fix task in Stage 2
rep_01,challenge_004,agent_a,true,ok,true,false,true,tests_failed,,,,
rep_01,challenge_004,agent_b,true,ok,true,true,false,,,,,
rep_01,challenge_004,agent_c,true,ok,true,true,false,,,,,
rep_01,challenge_004,agent_d,true,ok,true,true,false,,,,,
rep_01,challenge_005,agent_a,true,ok,true,true,false,,,,,
rep_01,challenge_005,agent_b,true,ok,true,true,false,,,,,
rep_01,challenge_005,agent_c,true,ok,true,true,false,,,,,
rep_01,challenge_005,agent_d,true,ok,true,true,false,,,,,
rep_01,challenge_006,agent_a,true,ok,true,false,true,tests_failed,,,,
rep_01,challenge_006,agent_b,true,ok,true,false,true,tests_failed,false,false,Decimal rewrite missed invalid value contract under tests,False completion after a plausible but incomplete fix
rep_01,challenge_006,agent_c,true,ok,true,false,true,tests_failed,,,,
rep_01,challenge_006,agent_d,true,ok,true,true,false,,true,true,broadened Decimal fix to preserve invalid input ValueError behavior,Strongest Stage 2 D over B case with retained verifier like evidence
rep_01,challenge_007,agent_a,true,ok,true,true,false,,,,,
rep_01,challenge_007,agent_b,true,ok,true,true,false,,,,,
rep_01,challenge_007,agent_c,true,ok,true,true,false,,,,,
rep_01,challenge_007,agent_d,true,ok,true,true,false,,,,,
rep_01,challenge_008,agent_a,true,ok,true,true,false,,,,,
rep_01,challenge_008,agent_b,true,ok,true,true,false,,,,,
rep_01,challenge_008,agent_c,true,ok,true,false,true,tests_failed,,,,
rep_01,challenge_008,agent_d,true,ok,true,true,false,,,,,
rep_01,challenge_009,agent_a,true,ok,true,true,false,,,,,
rep_01,challenge_009,agent_b,true,ok,true,true,false,,,,,
rep_01,challenge_009,agent_c,true,ok,true,true,false,,,,,
rep_01,challenge_009,agent_d,true,ok,true,true,false,,,,,
rep_01,challenge_010,agent_a,true,ok,true,true,false,,,,,
rep_01,challenge_010,agent_b,true,ok,true,true,false,,,,,
rep_01,challenge_010,agent_c,true,ok,true,true,false,,,,,
rep_01,challenge_010,agent_d,true,ok,true,true,false,,,,,
rep_01,challenge_011,agent_a,true,ok,true,true,false,,,,,
rep_01,challenge_011,agent_b,true,ok,true,true,false,,,,,
rep_01,challenge_011,agent_c,true,ok,true,true,false,,,,,
rep_01,challenge_011,agent_d,true,ok,true,true,false,,,,,
rep_01,challenge_012,agent_a,true,ok,true,true,false,,,,,
rep_01,challenge_012,agent_b,true,ok,true,true,false,,,,,
rep_01,challenge_012,agent_c,true,ok,true,true,false,,,,,
rep_01,challenge_012,agent_d,true,ok,true,true,false,,,,,
